Model,Accuracy,F1_weighted,F1_macro
XGBoost,0.8235294117647058,0.8131963896669778,0.8198332531665865
CatBoost,0.8235294117647058,0.7979319155789745,0.8040138873472207
SVC,0.803921568627451,0.7803830156771334,0.7894975394975395
LightGBM,0.7647058823529411,0.7449961802902979,0.7537758537758539
ExtraTrees,0.7647058823529411,0.7395806807571513,0.7492784992784993
GradientBoosting,0.7647058823529411,0.7395297512944573,0.750913900913901
RandomForest,0.7647058823529411,0.7291101055806938,0.7361823361823361
KNN,0.7450980392156863,0.7215293741245299,0.7336329610839415
DecisionTree,0.6862745098039216,0.6625159154570919,0.6764951098284432
LogisticRegression,0.6274509803921569,0.5974240676662821,0.6136165577342048
AdaBoost,0.5882352941176471,0.5514642220524573,0.5598845598845599
GaussianNB,0.5294117647058824,0.49937274374990626,0.514853719265484
MLP,0.19607843137254902,0.1279719617315525,0.14020397208803004
